N°,Cheval,S/A,Gain,Dernières performances
1,LUMIERE DE BAILLE,4,12675,1 5 10 2
2,LEELOO MATCH,4,12930,5 5 5 9 2 7 8 2 5 5 0 6
3,LUBIE DE LOIRON,4,12300,10 1 3 8 5 3 5
4,LILY BECO,4,12025,8 10 3 9 2 10 10 2
5,LOUNA D'ESTIEU,4,11955,10 8 2 5 10 0 10 10 10 5 6 9
6,LISA MARIA,4,12375,10 1 1 10
7,LADY GODIVA,4,11735,3 10 3 1 8 10 10 10 10
8,LARISKA,4,11925,1 2 5
9,LISBETH DE BANNES,4,11255,0 2 6 10 4 5 5 9 2 4 10 10
10,LINA DU LUPIN,4,11200,1 5 2 5
11,LYNN CRISTAL,4,2810,0 1
12,LYMKA PRINCESSE,4,11235,4 10 10 3 5 2 8 5 10 10  10 10
13,LUEUR MAJYC,4,7425,10 10 1 10 10 10 10 10
14,LIZA D'HERIPRE,4,9670,6 3 6 10 1
15,LOVE ME DAXEL,4,11495,1 2 3
16,LOUVE DE CHANLECY,4,8570,1 3
