N°,Cheval,S/A,Gain,Dernières performances
1,ROSEFILLY HAS,5,68815,7 1 5 5 6 2 1  3
2,BELLA LUNA,5,31070,3 1 1 2  9
3,MAJESTIKA,,,
4,KLIPPER,5,71955,4 4 1 8 1 1 4 9 6  5 10 3
5,ARCACHON,5,48280,1 3 3 10 2 2 3 5 10 10  2 9
6,DREAM DU LEMO,5,12925,8 4 3 7 1
7,FLORA QUEEN,5,28400,6 9 6 4 2 1 4  2 2 6 1 4
8,GRAINE DE BEAUTE,5,64880,3 3 3 10 8 10 4 1 8  10 5 5
9,XAT,5,37175,1 1 1 10 5 2 1 10 10 10 8  5
10,KLEM LANGY,5,18670,2 10 10 4 7 4 4  9
11,KNICK KNACK,5,12620,7 6 10 3 10 4
12,KITOKO,5,15035,5 4 1 7 10  8
13,KARRE D'ATHOU,5,5890,3 6 10 10
